,track_name,danceability,loudness,acousticness,instrumentalness,valence,energy,genre,,
157,inbamae pongumae,0.422,-9.294,0.985,0.139,0.682,0.303,pop,,
158,enna vendum,0.811,-8.389,0.362,5.53E-05,0.78,0.602,pop,,
159,cowboy jackie,0.541,-5.572,0.0676,1.49E-05,0.876,0.635,pop,,
160,unchained melody,0.339,-16.725,0.396,0.000519,0.288,0.208,pop,,
161,"rose, rose, i love you",0.46,-9.442,0.788,0,0.932,0.335,pop,,
162,talk to me something,0.746,-10.297,0.736,2.51E-06,0.503,0.527,pop,,
163,there goes my baby,0.626,-8.077,0.175,0,0.257,0.52,pop,,
164,"oh, so many years",0.578,-6.986,0.159,5.79E-06,0.731,0.655,pop,,
165,when i am with you,0.799,-6.735,0.162,2.03E-06,0.549,0.586,pop,,
166,i'll walk alone,0.328,-12.983,0.995,0.0402,0.257,0.21,pop,,
167,down the line,0.615,-6.569,0.237,0.00431,0.528,0.743,pop,,
168,yours,0.554,-6.005,0.119,0,0.558,0.722,pop,,
169,all dressed up with a broken heart,0.67,-12.882,0.819,6.04E-06,0.445,0.24,pop,,
170,changing all those changes,0.79,-13.509,0.861,0.00165,0.487,0.379,pop,,
171,no love (but your love),0.332,-9.175,0.864,8.17E-05,0.306,0.443,pop,,
172,pretty betty,0.686,-16.419,0.121,1.63E-05,0.273,0.397,pop,,
173,well...all right,0.428,-11.434,0.124,0.0663,0.786,0.654,pop,,
174,"wonderful, wonderful",0.24,-8.764,0.758,0,0.585,0.417,pop,,
175,i'm gonna love you too,0.697,-4.579,0.13,1.32E-06,0.818,0.862,pop,,
176,sleigh ride,0.529,-7.013,0.403,2.21E-06,0.853,0.772,pop,,
177,the twelfth of never,0.205,-10.765,0.902,0.000346,0.354,0.334,pop,,
178,to be loved,0.356,-8.291,0.843,0,0.289,0.176,pop,,
179,when sunny gets blue,0.427,-22.546,0.843,0.863,0.114,0.114,pop,,
180,words of love,0.551,-9.8,0.323,0.722,0.85,0.533,pop,,
181,poor little fool,0.474,-11.528,0.648,0,0.81,0.338,pop,,
182,high noon,0.515,-20.495,0.984,0.202,0.606,0.112,pop,,
183,"blue days, black nights",0.766,-6.38,0.705,0,0.733,0.581,pop,,
184,take your time,0.558,-5.603,0.101,0,0.483,0.719,pop,,
185,winter wonderland,0.462,-5.938,0.643,0,0.387,0.474,pop,,
186,little baby,0.858,-9.611,0.566,0.0893,0.824,0.435,pop,,
187,valley of tears,0.504,-9.824,0.368,0,0.577,0.274,pop,,
188,diana,0.549,-4.319,0.0604,0,0.755,0.868,pop,,
189,long time gone,0.595,-11.848,0.455,0.000479,0.362,0.366,pop,,
190,roving gambler,0.661,-10.545,0.646,0.00593,0.891,0.46,pop,,
191,listen to me,0.692,-17.065,0.023,0.663,0.442,0.589,pop,,
192,you are my one desire,0.446,-10.845,0.891,0.00149,0.589,0.332,pop,,
193,love me,0.669,-6.476,0.0125,0,0.496,0.634,pop,,
194,love letters,0.563,-18.055,0.782,0.7,0.294,0.222,pop,,
195,drifting away from you,0.577,-13.438,0.38,0.871,0.102,0.623,pop,,
196,moonlight bay,0.32,-15.656,0.984,0.000706,0.231,0.0455,pop,,
197,i'll take you home again kathleen,0.708,-20.067,0.859,0.857,0.205,0.0414,pop,,
198,my serenade,0.34,-10.93,0.883,0.000842,0.187,0.296,pop,,
199,sleepy time gal,0.605,-23.28,0.982,0.859,0.502,0.0247,pop,,
200,try a little tenderness,0.587,-15.151,0.186,2.26E-05,0.068,0.133,pop,,
201,"god rest ye merry, gentlemen",0.754,-8.832,0.766,0,0.693,0.4,pop,,
202,all of me,0.422,-7.064,0.922,0,0.331,0.264,pop,,
203,that old feeling,0.643,-16.813,0.633,4.24E-05,0.642,0.175,pop,,
204,for the first time,0.551,-10.469,0.296,0.0093,0.521,0.529,pop,,
205,believe what you say,0.641,-9.011,0.664,0,0.727,0.797,pop,,
206,my bucket's got a hole in it,0.651,-12.006,0.789,7.97E-05,0.916,0.358,pop,,
207,jealousy (jalousie),0.582,-9.298,0.902,0,0.396,0.28,pop,,
208,it's raining outside,0.789,-9.849,0.649,0.929,0.0396,0.52,pop,,
209,good night irene,0.484,-10.338,0.716,0,0.572,0.447,pop,,
210,blue christmas,0.465,-16.661,0.9,0.00104,0.58,0.27,pop,,
211,whispering wind,0.797,-11.122,0.652,0.903,0.231,0.297,pop,,
212,as long as i live,0.533,-5.106,0.0631,0.000109,0.569,0.749,pop,,
213,right now!,0.555,-6.496,0.219,0,0.76,0.76,pop,,
214,granada,0.381,-11.633,0.92,6.26E-06,0.428,0.399,pop,,
215,your cheatin' heart,0.672,-11.634,0.774,1.79E-05,0.689,0.243,pop,,
216,but not like you,0.501,-9.117,0.614,0.0373,0.0549,0.445,pop,,
217,danny boy,0.258,-9.184,0.953,0.000179,0.197,0.22,pop,,
218,that's my desire,0.593,-11.134,0.706,0.0334,0.259,0.177,pop,,
219,don't leave me,0.789,-5.069,0.0497,0,0.7,0.541,pop,,
220,"promises, promises",0.746,-5.381,0.102,0.000242,0.753,0.895,pop,,
221,moonglow,0.631,-19.537,0.993,0.864,0.301,0.113,pop,,
222,i belong to you,0.759,-11.034,0.026,0,0.329,0.337,pop,,
223,crying my heart out for you,0.372,-10.261,0.469,0,0.269,0.621,pop,,
224,moon of gold,0.599,-21.52,0.183,0.905,0.148,0.122,pop,,
225,i waited too long,0.745,-7.95,0.126,0,0.739,0.647,pop,,
226,forty winks away,0.326,-8.312,0.546,6.50E-06,0.458,0.67,pop,,
227,no vacancy,0.432,-3.506,0.00561,3.35E-05,0.41,0.784,pop,,
228,blood from a stone,0.301,-1.829,0.000587,3.22E-05,0.249,0.989,pop,,
229,going home to mary lou,0.683,-5.801,0.884,0,0.898,0.851,pop,,
230,i'm walkin',0.65,-8.11,0.611,0.056,0.972,0.89,pop,,
231,i've got you under my skin,0.585,-7.398,0.508,0,0.625,0.371,pop,,
232,walk with me,0.286,-3.828,3.39E-05,0.00675,0.118,0.982,pop,,
233,as long as i live,0.533,-5.106,0.0631,0.000109,0.569,0.749,pop,,
234,the same old fool,0.513,-9.886,0.424,0,0.653,0.275,pop,,
235,love is all,0.457,-8.104,0.432,0.00106,0.691,0.492,pop,,
236,shiva shankari shivananda,0.351,-7.899,0.983,0.256,0.729,0.718,pop,,
237,i wish your picture was you,0.494,-8.776,0.609,0.0076,0.703,0.53,pop,,
238,stairway to the sea (scalinatella),0.27,-8.373,0.71,0,0.439,0.5,pop,,
239,embraceable you,0.23,-18.305,0.836,0.00489,0.0532,0.14,pop,,
240,let's love,0.662,-4.025,0.00882,0.00244,0.353,0.868,pop,,
241,oceano,0.279,-7.718,0.44,1.25E-06,0.155,0.471,pop,,
242,منك بخاف,0.722,-7.008,0.244,0.00117,0.881,0.688,pop,,
243,let it snow! let it snow! let it snow!,0.451,-14.014,0.912,2.45E-06,0.701,0.24,pop,,
244,back in your own back yard,0.563,-9.673,0.467,0,0.696,0.367,pop,,
245,you better go now,0.452,-14.62,0.974,3.20E-05,0.421,0.202,pop,,
246,i'm just a boy in love,0.336,-17.417,0.985,0.139,0.257,0.15,pop,,
247,secret love,0.529,-5.032,0.215,0,0.141,0.614,pop,,
248,where are you?,0.666,-10.012,0.301,0.00513,0.451,0.499,pop,,
249,faithfully,0.398,-7.765,0.26,0,0.289,0.555,pop,,
250,have yourself a merry little christmas,0.262,-15.235,0.913,6.74E-06,0.288,0.137,pop,,
251,i'll be home for christmas,0.223,-16.084,0.281,0,0.176,0.146,pop,,
252,"touch me, lord jesus",0.342,-10.415,0.923,7.68E-05,0.356,0.209,pop,,
253,happiness,0.467,-10.99,0.969,1.40E-06,0.156,0.119,pop,,
254,"only you, only me",0.691,-6.478,0.0483,1.13E-05,0.8,0.631,pop,,
255,it's all a part of love,0.511,-6.088,0.774,0,0.546,0.362,pop,,
256,superman,0.802,-3.138,0.0215,0,0.58,0.755,pop,,
257,angelique-o,0.576,-12.658,0.816,0,0.915,0.377,pop,,
258,the damsel's lament (i never will marry),0.532,-15.506,0.724,0,0.525,0.258,pop,,
259,i'll be easy to find,0.201,-10.835,0.825,0,0.119,0.317,pop,,
260,prisoner of love,0.365,-5.431,0.835,8.01E-06,0.559,0.568,pop,,
261,if i didn't care,0.417,-16.572,0.993,0.0125,0.18,0.123,pop,,
262,as time goes by,0.427,-15.485,0.968,1.55E-05,0.305,0.24,pop,,
263,when i fall in love,0.154,-15.413,0.676,0.00146,0.115,0.215,pop,,
264,i'll never smile again,0.307,-16.383,0.993,0.776,0.0645,0.144,pop,,
265,mama,0.807,-7.554,0.15,0.713,0.602,0.354,pop,,
266,rockin' all night,0.526,-5.591,0.112,5.26E-05,0.512,0.611,pop,,
267,i got the blues,0.442,-5.295,0.467,0.0216,0.199,0.382,pop,,
268,through a long and sleepless night,0.541,-18.816,0.979,0.0043,0.174,0.0517,pop,,
269,sweeter than you,0.403,-12.067,0.845,1.37E-06,0.274,0.125,pop,,
270,no one knows,0.6,-9.709,0.36,4.31E-05,0.308,0.619,pop,,
271,non dimenticar,0.232,-15.493,0.895,0.00705,0.168,0.175,pop,,
272,turn! turn! turn! (to everything there is a season),0.451,-8.124,0.135,2.92E-05,0.755,0.818,pop,,
273,mrs. robinson,0.606,-14.035,0.713,2.53E-05,0.813,0.457,pop,,
274,yellow bird,0.596,-6.701,0.028,0.569,0.198,0.656,pop,,
275,stay beside me,0.614,-6.388,0.618,0,0.2,0.534,pop,,
276,just you,0.567,-5.416,0.456,0,0.544,0.696,pop,,
277,you mean everything to me,0.374,-7.801,0.523,0,0.679,0.429,pop,,
278,i'm walkin',0.65,-8.11,0.611,0.056,0.972,0.89,pop,,
279,lonely teardrops,0.591,-4.554,0.596,0,0.906,0.582,pop,,
280,oh! carol,0.728,-3.234,0.63,3.56E-05,0.965,0.734,pop,,
281,lonesome town,0.404,-12.501,0.794,0.000296,0.273,0.193,pop,,
282,blueberry hill,0.489,-9.702,0.74,0.000236,0.829,0.499,pop,,
283,ain't that a shame,0.486,-8.57,0.767,7.60E-05,0.942,0.501,pop,,
284,smoke gets in your eyes,0.203,-11.155,0.92,2.05E-06,0.285,0.295,pop,,
285,a teenager in love,0.555,-9.123,0.671,0,0.619,0.377,pop,,
286,we belong together,0.837,-7.89,0.0339,0,0.762,0.462,pop,,
287,winter wonderland,0.462,-5.938,0.643,0,0.387,0.474,pop,,
288,paddiwack song,0.54,-7.629,0.838,1.64E-06,0.879,0.914,pop,,
289,boulevard of broken dreams,0.496,-4.095,0.00552,2.94E-05,0.474,0.682,pop,,
290,it's late,0.293,-5.242,0.191,5.26E-06,0.508,0.692,pop,,
291,i'll remember april,0.486,-12.71,0.771,0.493,0.753,0.367,pop,,
292,my darling is gone,0.327,-14,0.972,0.000166,0.176,0.0626,pop,,
293,"music, maestro, please!",0.745,-12.001,0.99,0.114,0.555,0.114,pop,,
294,that's my desire,0.593,-11.134,0.706,0.0334,0.259,0.177,pop,,
295,fool fool fool,0.436,-12.113,0.43,0.00427,0.749,0.654,pop,,
296,all about you,0.927,-5.341,0.112,0,0.818,0.746,pop,,
